month,variable,value
1998-08-15,A2772130R,723.3
1998-11-15,A2772130R,722.7
1999-02-15,A2772130R,724.9
1999-05-15,A2772130R,734.7
1999-08-15,A2772130R,727.5
1999-11-15,A2772130R,741.2
2000-02-15,A2772130R,749.0
2000-05-15,A2772130R,759.4
2000-08-15,A2772130R,769.1
2000-11-15,A2772130R,768.0
2001-02-15,A2772130R,776.9
2001-05-15,A2772130R,789.3
2001-08-15,A2772130R,799.4
2001-11-15,A2772130R,809.1
2002-02-15,A2772130R,818.4
2002-05-15,A2772130R,825.8
2002-08-15,A2772130R,831.7
2002-11-15,A2772130R,845.9
2003-02-15,A2772130R,857.3
2003-05-15,A2772130R,872.2
2003-08-15,A2772130R,876.6
2003-11-15,A2772130R,892.9
2004-02-15,A2772130R,893.2
2004-05-15,A2772130R,890.4
2004-08-15,A2772130R,900.7
2004-11-15,A2772130R,909.5
2005-02-15,A2772130R,928.1
2005-05-15,A2772130R,942.6
2005-08-15,A2772130R,955.9
2005-11-15,A2772130R,960.3
2006-02-15,A2772130R,973.3
2006-05-15,A2772130R,983.3
2006-08-15,A2772130R,993.2
2006-11-15,A2772130R,1009.5
2007-02-15,A2772130R,1017.0
2007-05-15,A2772130R,1038.0
2007-08-15,A2772130R,1048.2
2007-11-15,A2772130R,1053.1
2008-02-15,A2772130R,1063.9
2008-05-15,A2772130R,1073.9
2008-08-15,A2772130R,1088.9
2008-11-15,A2772130R,1102.0
2009-02-15,A2772130R,1108.4
2009-05-15,A2772130R,1114.7
2009-08-15,A2772130R,1139.7
2009-11-15,A2772130R,1163.4
2010-02-15,A2772130R,1174.8
2010-05-15,A2772130R,1187.6
2010-08-15,A2772130R,1182.5
2010-11-15,A2772130R,1211.8
2011-02-15,A2772130R,1220.0
2011-05-15,A2772130R,1240.3
2011-08-15,A2772130R,1244.4
2011-11-15,A2772130R,1255.8
2012-02-15,A2772130R,1280.8
2012-05-15,A2772130R,1288.6
1994-08-15,A2772122R,554.5
1994-11-15,A2772122R,560.5
1995-02-15,A2772122R,567.4
1995-05-15,A2772122R,576.1
1995-08-15,A2772122R,581.3
1995-11-15,A2772122R,581.0
1996-02-15,A2772122R,589.3
1996-05-15,A2772122R,595.0
1996-08-15,A2772122R,600.8
1996-11-15,A2772122R,611.8
1997-02-15,A2772122R,614.9
1997-05-15,A2772122R,620.7
1997-08-15,A2772122R,627.5
1997-11-15,A2772122R,632.1
1998-02-15,A2772122R,640.3
1998-05-15,A2772122R,646.6
1998-08-15,A2772122R,652.0
1998-11-15,A2772122R,659.6
1999-02-15,A2772122R,665.7
1999-05-15,A2772122R,669.3
1999-08-15,A2772122R,674.0
1999-11-15,A2772122R,681.5
2000-02-15,A2772122R,688.0
2000-05-15,A2772122R,696.5
2000-08-15,A2772122R,707.4
2000-11-15,A2772122R,715.9
2001-02-15,A2772122R,723.7
2001-05-15,A2772122R,734.8
2001-08-15,A2772122R,745.5
2001-11-15,A2772122R,755.4
2002-02-15,A2772122R,765.6
2002-05-15,A2772122R,772.2
2002-08-15,A2772122R,782.1
2002-11-15,A2772122R,790.8
2003-02-15,A2772122R,797.3
2003-05-15,A2772122R,816.0
2003-08-15,A2772122R,825.2
