series_id,content,frequency,unit,series_type
A84998727A,Earnings; Males; Full Time; Adult; Ordinary time earnings ;,Biannual,$,Seasonally Adjusted
A84998730R,Earnings; Males; Full Time; Adult; Total earnings ;,Biannual,$,Seasonally Adjusted
A84998733W,Earnings; Males; Total earnings ;,Biannual,$,Seasonally Adjusted
A84998728C,Earnings; Females; Full Time; Adult; Ordinary time earnings ;,Biannual,$,Seasonally Adjusted
A84998731T,Earnings; Females; Full Time; Adult; Total earnings ;,Biannual,$,Seasonally Adjusted
A84998734X,Earnings; Females; Total earnings ;,Biannual,$,Seasonally Adjusted
A84998729F,Earnings; Persons; Full Time; Adult; Ordinary time earnings ;,Biannual,$,Seasonally Adjusted
A84998732V,Earnings; Persons; Full Time; Adult; Total earnings ;,Biannual,$,Seasonally Adjusted
A84998735A,Earnings; Persons; Total earnings ;,Biannual,$,Seasonally Adjusted
