series_id,content,frequency,unit,series_type
A2772121L,Earnings; Males; Full Time; Adult; Ordinary time earnings ;,Quarter,$,Seasonally Adjusted
A2772124V,Earnings; Males; Full Time; Adult; Total earnings ;,Quarter,$,Seasonally Adjusted
A2772130R,Earnings; Males; Total earnings ;,Quarter,$,Seasonally Adjusted
A2772122R,Earnings; Females; Full Time; Adult; Ordinary time earnings ;,Quarter,$,Seasonally Adjusted
A2772125W,Earnings; Females; Full Time; Adult; Total earnings ;,Quarter,$,Seasonally Adjusted
A2772131T,Earnings; Females; Total earnings ;,Quarter,$,Seasonally Adjusted
A2772123T,Earnings; Persons; Full Time; Adult; Ordinary time earnings ;,Quarter,$,Seasonally Adjusted
A2772126X,Earnings; Persons; Full Time; Adult; Total earnings ;,Quarter,$,Seasonally Adjusted
A2772132V,Earnings; Persons; Total earnings ;,Quarter,$,Seasonally Adjusted
