month,variable,value
1974-08-31,FILRSBVRT,
1974-09-30,FILRSBVRT,
1974-10-31,FILRSBVRT,
1974-11-30,FILRSBVRT,
1974-12-31,FILRSBVRT,
1975-01-31,FILRSBVRT,
1975-02-28,FILRSBVRT,
1975-03-31,FILRSBVRT,
1975-04-30,FILRSBVRT,
1975-05-31,FILRSBVRT,
1975-06-30,FILRSBVRT,
1975-07-31,FILRSBVRT,
1975-08-31,FILRSBVRT,
1975-09-30,FILRSBVRT,
1975-10-31,FILRSBVRT,
1975-11-30,FILRSBVRT,
1975-12-31,FILRSBVRT,
1976-01-31,FILRSBVRT,
1976-02-29,FILRSBVRT,
1976-03-31,FILRSBVRT,
1976-04-30,FILRSBVRT,
1976-05-31,FILRSBVRT,
1976-06-30,FILRSBVRT,
1976-07-31,FILRSBVRT,
1976-08-31,FILRSBVRT,
1976-09-30,FILRSBVRT,
1976-10-31,FILRSBVRT,
1976-11-30,FILRSBVRT,
1976-12-31,FILRSBVRT,
1977-01-31,FILRSBVRT,
1977-02-28,FILRSBVRT,
1977-03-31,FILRSBVRT,
1977-04-30,FILRSBVRT,
1977-05-31,FILRSBVRT,
1977-06-30,FILRSBVRT,
1977-07-31,FILRSBVRT,
1977-08-31,FILRSBVRT,
1977-09-30,FILRSBVRT,
1977-10-31,FILRSBVRT,
1977-11-30,FILRSBVRT,
1977-12-31,FILRSBVRT,
1978-01-31,FILRSBVRT,
1978-02-28,FILRSBVRT,
1978-03-31,FILRSBVRT,
1978-04-30,FILRSBVRT,
1978-05-31,FILRSBVRT,
1978-06-30,FILRSBVRT,
1978-07-31,FILRSBVRT,
1978-08-31,FILRSBVRT,
1978-09-30,FILRSBVRT,
1978-10-31,FILRSBVRT,
1978-11-30,FILRSBVRT,
1978-12-31,FILRSBVRT,
1979-01-31,FILRSBVRT,
1979-02-28,FILRSBVRT,
1979-03-31,FILRSBVRT,
1979-04-30,FILRSBVRT,
1979-05-31,FILRSBVRT,
1979-06-30,FILRSBVRT,
1979-07-31,FILRSBVRT,
1979-08-31,FILRSBVRT,
1979-09-30,FILRSBVRT,
1979-10-31,FILRSBVRT,
1979-11-30,FILRSBVRT,
1979-12-31,FILRSBVRT,
1980-01-31,FILRSBVRT,
1980-02-29,FILRSBVRT,
1980-03-31,FILRSBVRT,
1980-04-30,FILRSBVRT,
1980-05-31,FILRSBVRT,
1980-06-30,FILRSBVRT,
1980-07-31,FILRSBVRT,
1980-08-31,FILRSBVRT,
1980-09-30,FILRSBVRT,
1980-10-31,FILRSBVRT,
1980-11-30,FILRSBVRT,
1980-12-31,FILRSBVRT,
1981-01-31,FILRSBVRT,
1981-02-28,FILRSBVRT,
1981-03-31,FILRSBVRT,
1981-04-30,FILRSBVRT,
1981-05-31,FILRSBVRT,
1981-06-30,FILRSBVRT,
1981-07-31,FILRSBVRT,
1981-08-31,FILRSBVRT,
1981-09-30,FILRSBVRT,
1981-10-31,FILRSBVRT,
