month,variable,value
1948-09-01,A2325806K,3.7
1948-12-01,A2325806K,3.7
1949-03-01,A2325806K,3.9
1949-06-01,A2325806K,3.9
1949-09-01,A2325806K,4.0
1949-12-01,A2325806K,4.1
1950-03-01,A2325806K,4.1
1950-06-01,A2325806K,4.3
1950-09-01,A2325806K,4.4
1950-12-01,A2325806K,4.6
1951-03-01,A2325806K,4.7
1951-06-01,A2325806K,5.1
1951-09-01,A2325806K,5.4
1951-12-01,A2325806K,5.7
1952-03-01,A2325806K,5.9
1952-06-01,A2325806K,6.1
1952-09-01,A2325806K,6.2
1952-12-01,A2325806K,6.3
1953-03-01,A2325806K,6.3
1953-06-01,A2325806K,6.4
1953-09-01,A2325806K,6.4
1953-12-01,A2325806K,6.4
1954-03-01,A2325806K,6.4
1954-06-01,A2325806K,6.4
1954-09-01,A2325806K,6.4
1954-12-01,A2325806K,6.4
1955-03-01,A2325806K,6.5
1955-06-01,A2325806K,6.5
1955-09-01,A2325806K,6.5
1955-12-01,A2325806K,6.6
1956-03-01,A2325806K,6.6
1956-06-01,A2325806K,6.9
1956-09-01,A2325806K,7.1
1956-12-01,A2325806K,7.1
1957-03-01,A2325806K,7.1
1957-06-01,A2325806K,7.1
1957-09-01,A2325806K,7.2
1957-12-01,A2325806K,7.2
1958-03-01,A2325806K,7.3
1958-06-01,A2325806K,7.3
1958-09-01,A2325806K,7.2
1958-12-01,A2325806K,7.3
1959-03-01,A2325806K,7.3
1959-06-01,A2325806K,7.3
1959-09-01,A2325806K,7.3
1959-12-01,A2325806K,7.4
1960-03-01,A2325806K,7.4
1960-06-01,A2325806K,7.5
1960-09-01,A2325806K,7.6
1960-12-01,A2325806K,7.7
1961-03-01,A2325806K,7.7
1961-06-01,A2325806K,7.8
1961-09-01,A2325806K,7.7
1961-12-01,A2325806K,7.7
1962-03-01,A2325806K,7.7
1962-06-01,A2325806K,7.7
1962-09-01,A2325806K,7.7
1962-12-01,A2325806K,7.8
1963-03-01,A2325806K,7.8
1963-06-01,A2325806K,7.8
1963-09-01,A2325806K,7.8
1963-12-01,A2325806K,7.8
1964-03-01,A2325806K,7.8
1964-06-01,A2325806K,7.9
1964-09-01,A2325806K,8.0
1964-12-01,A2325806K,8.1
1965-03-01,A2325806K,8.1
1965-06-01,A2325806K,8.2
1965-09-01,A2325806K,8.3
1965-12-01,A2325806K,8.4
1966-03-01,A2325806K,8.4
1966-06-01,A2325806K,8.4
1966-09-01,A2325806K,8.5
1966-12-01,A2325806K,8.5
1967-03-01,A2325806K,8.6
1967-06-01,A2325806K,8.7
1967-09-01,A2325806K,8.8
1967-12-01,A2325806K,8.8
1968-03-01,A2325806K,8.9
1968-06-01,A2325806K,8.9
1968-09-01,A2325806K,8.9
1968-12-01,A2325806K,9.1
1969-03-01,A2325806K,9.2
1969-06-01,A2325806K,9.2
1969-09-01,A2325806K,9.3
1969-12-01,A2325806K,9.4
1970-03-01,A2325806K,9.5
1970-06-01,A2325806K,9.7
1970-09-01,A2325806K,9.7
1970-12-01,A2325806K,9.9
1971-03-01,A2325806K,10.1
1971-06-01,A2325806K,10.3
1971-09-01,A2325806K,10.6
1971-12-01,A2325806K,10.8
1972-03-01,A2325806K,10.9
1972-06-01,A2325806K,11.1
1972-09-01,A2325806K,11.2
1972-12-01,A2325806K,11.3
1973-03-01,A2325806K,11.6
1973-06-01,A2325806K,11.9
1973-09-01,A2325806K,12.3
1973-12-01,A2325806K,12.8
1974-03-01,A2325806K,13.1
1974-06-01,A2325806K,13.6
1974-09-01,A2325806K,14.4
1974-12-01,A2325806K,14.9
1975-03-01,A2325806K,15.3
1975-06-01,A2325806K,15.9
1975-09-01,A2325806K,16.1
1975-12-01,A2325806K,16.9
1976-03-01,A2325806K,17.4
1976-06-01,A2325806K,17.8
1976-09-01,A2325806K,18.1
1976-12-01,A2325806K,19.1
1977-03-01,A2325806K,19.5
1977-06-01,A2325806K,19.9
1977-09-01,A2325806K,20.3
1977-12-01,A2325806K,20.7
1978-03-01,A2325806K,21.0
1978-06-01,A2325806K,21.4
1978-09-01,A2325806K,21.9
1978-12-01,A2325806K,22.4
1979-03-01,A2325806K,22.8
1979-06-01,A2325806K,23.5
1979-09-01,A2325806K,24.1
1979-12-01,A2325806K,24.7
1980-03-01,A2325806K,25.4
1980-06-01,A2325806K,26.1
1980-09-01,A2325806K,26.6
1980-12-01,A2325806K,27.1
1981-03-01,A2325806K,27.9
1981-06-01,A2325806K,28.4
1981-09-01,A2325806K,28.9
1981-12-01,A2325806K,30.1
1982-03-01,A2325806K,30.7
1982-06-01,A2325806K,31.6
1982-09-01,A2325806K,32.7
1982-12-01,A2325806K,33.7
1983-03-01,A2325806K,34.4
1983-06-01,A2325806K,35.1
1983-09-01,A2325806K,35.5
1983-12-01,A2325806K,36.2
1984-03-01,A2325806K,36.1
1984-06-01,A2325806K,36.1
1984-09-01,A2325806K,36.5
1984-12-01,A2325806K,37.1
1985-03-01,A2325806K,37.6
1985-06-01,A2325806K,38.4
1985-09-01,A2325806K,39.3
1985-12-01,A2325806K,40.2
1986-03-01,A2325806K,41.1
1986-06-01,A2325806K,41.8
1986-09-01,A2325806K,42.8
1986-12-01,A2325806K,44.1
1987-03-01,A2325806K,45.0
1987-06-01,A2325806K,45.7
1987-09-01,A2325806K,46.5
1987-12-01,A2325806K,47.2
1988-03-01,A2325806K,48.3
1988-06-01,A2325806K,49.0
1988-09-01,A2325806K,50.3
1988-12-01,A2325806K,51.6
1989-03-01,A2325806K,51.7
1989-06-01,A2325806K,52.9
1989-09-01,A2325806K,54.4
1989-12-01,A2325806K,55.4
1990-03-01,A2325806K,56.3
1990-06-01,A2325806K,57.2
1990-09-01,A2325806K,57.6
1990-12-01,A2325806K,58.9
1991-03-01,A2325806K,59.0
1991-06-01,A2325806K,58.9
1991-09-01,A2325806K,59.2
1991-12-01,A2325806K,59.8
1992-03-01,A2325806K,59.8
1992-06-01,A2325806K,59.5
1992-09-01,A2325806K,59.7
1992-12-01,A2325806K,60.0
1993-03-01,A2325806K,60.4
1993-06-01,A2325806K,60.5
1993-09-01,A2325806K,60.7
1993-12-01,A2325806K,60.8
1994-03-01,A2325806K,60.9
1994-06-01,A2325806K,61.4
1994-09-01,A2325806K,62.0
1994-12-01,A2325806K,62.4
1995-03-01,A2325806K,63.5
1995-06-01,A2325806K,64.4
1995-09-01,A2325806K,65.5
1995-12-01,A2325806K,66.1
1996-03-01,A2325806K,66.5
1996-06-01,A2325806K,67.0
1996-09-01,A2325806K,67.1
1996-12-01,A2325806K,67.2
1997-03-01,A2325806K,67.3
1997-06-01,A2325806K,67.1
1997-09-01,A2325806K,66.9
1997-12-01,A2325806K,67.1
1998-03-01,A2325806K,67.4
1998-06-01,A2325806K,67.8
1998-09-01,A2325806K,68.0
1998-12-01,A2325806K,68.4
1999-03-01,A2325806K,68.4
1999-06-01,A2325806K,68.7
1999-09-01,A2325806K,69.3
1999-12-01,A2325806K,69.7
2000-03-01,A2325806K,70.3
2000-06-01,A2325806K,70.9
2000-09-01,A2325806K,73.5
2000-12-01,A2325806K,73.8
2001-03-01,A2325806K,74.8
2001-06-01,A2325806K,75.4
2001-09-01,A2325806K,75.6
2001-12-01,A2325806K,76.3
2002-03-01,A2325806K,77.0
2002-06-01,A2325806K,77.5
2002-09-01,A2325806K,77.9
2002-12-01,A2325806K,78.4
2003-03-01,A2325806K,79.4
2003-06-01,A2325806K,79.4
2003-09-01,A2325806K,79.5
2003-12-01,A2325806K,80.2
2004-03-01,A2325806K,80.9
2004-06-01,A2325806K,81.2
2004-09-01,A2325806K,81.6
2004-12-01,A2325806K,82.3
2005-03-01,A2325806K,82.7
2005-06-01,A2325806K,83.2
2005-09-01,A2325806K,84.0
2005-12-01,A2325806K,84.3
2006-03-01,A2325806K,85.0
2006-06-01,A2325806K,86.4
2006-09-01,A2325806K,87.2
2006-12-01,A2325806K,87.0
2007-03-01,A2325806K,86.9
2007-06-01,A2325806K,87.9
2007-09-01,A2325806K,88.3
2007-12-01,A2325806K,89.1
2008-03-01,A2325806K,90.3
2008-06-01,A2325806K,91.7
2008-09-01,A2325806K,92.7
2008-12-01,A2325806K,92.4
2009-03-01,A2325806K,92.5
2009-06-01,A2325806K,92.9
2009-09-01,A2325806K,93.9
2009-12-01,A2325806K,94.4
2010-03-01,A2325806K,95.2
2010-06-01,A2325806K,95.6
2010-09-01,A2325806K,96.3
2010-12-01,A2325806K,96.7
2011-03-01,A2325806K,98.2
2011-06-01,A2325806K,99.2
2011-09-01,A2325806K,99.9
2011-12-01,A2325806K,99.8
2012-03-01,A2325806K,99.9
2012-06-01,A2325806K,100.5
2012-09-01,A2325806K,102.2
2012-12-01,A2325806K,102.3
