month,weekly_earnings,variable_loan_owner,cash_rate,cpi,unemployement_rate,total_new_loans_no,total_new_loans_value,average_loan_value,average_yearly_interest,loan_repayment_perc_income
2019-12-01,1257.0,4.8,0.75,1.8,5.0651292,29245.0,14531.599999999999,496.89177637202937,23850.80526585741,0.36489207003637186
2020-01-01,1257.0,4.8,0.75,1.8,5.2596272,24004.0,12100.7,504.1118146975504,24197.367105482423,0.37019409928221075
2020-02-01,1257.0,4.8,0.75,1.8,5.0814185,23012.0,11048.400000000001,480.11472275334614,23045.506692160616,0.3525718544177317
2020-03-01,1257.0,4.52,0.43,2.2,5.2052962,26613.0,13170.5,494.8897155525495,22369.015142975237,0.3422222499078275
2020-04-01,1257.0,4.52,0.25,2.2,6.3089647,23239.0,11903.900000000001,512.2380481087827,23153.159774516975,0.3542188326068933
2020-05-01,1304.7,4.52,0.25,2.2,7.0107585,22432.0,11322.0,504.72539229671895,22813.587731811695,0.33626338698273833
2020-06-01,1304.7,4.52,0.25,-0.3,7.4455346,25584.0,12417.2,485.35021888680427,21937.829893683553,0.32335505795148234
2020-07-01,1304.7,4.52,0.25,-0.3,7.540266,28228.0,13632.4,482.938925889188,21828.839450191295,0.3217485813153524
2020-08-01,1304.7,4.52,0.25,-0.3,6.833792,29071.0,14194.900000000001,488.2838567644732,22070.430325754187,0.32530953661251605
2020-09-01,1304.7,4.52,0.25,0.7,6.928496,32804.0,15968.3,486.779051335203,22002.413120351175,0.3243069895282613
2020-10-01,1304.7,4.52,0.25,0.7,6.9768769,33651.0,16497.6,490.25586163858424,22159.564946064005,0.32662334615773747
2020-11-01,1280.3,4.52,0.11,0.7,6.8371114,36122.0,18175.3,503.1642766181275,22743.025303139362,0.34161202156855314
2020-12-01,1280.3,4.52,0.1,0.9,6.5857317,40108.0,20431.800000000003,509.4195671686448,23025.764436022742,0.3458589098111432
2021-01-01,1280.3,4.52,0.1,0.9,6.3215728,33308.0,17029.7,511.27957247508107,23109.836675873663,0.3471217184054468
2021-02-01,1280.3,4.52,0.1,0.9,5.7976702,34194.0,16929.199999999997,495.0927063227466,22378.190325788146,0.33613201121414077
2021-03-01,1280.3,4.52,0.1,1.1,5.6107836,41750.0,21359.7,511.60958083832344,23124.75305389222,0.3473457701303814
2021-04-01,1280.3,4.52,0.1,1.1,5.4110021,37300.0,20102.3,538.935656836461,24359.891689008036,0.3658981922657556
2021-05-01,1305.8,4.52,0.1,1.1,5.0573884,39115.0,21493.6,549.4976351783203,24837.293110060073,0.3657836208581252
2021-06-01,1305.8,4.52,0.1,3.8,4.9766911,39833.0,22145.5,555.9586272688475,25129.329952551907,0.3700845039373433
2021-07-01,1305.8,4.52,0.1,3.8,4.7093936,37643.0,21531.6,571.9947931886406,25854.164652126557,0.3807592847904403
2021-08-01,1305.8,4.52,0.1,3.8,4.5666967,35871.0,20263.7,564.904797747484,25533.69685818628,0.3760396935887561
2021-09-01,1305.8,4.52,0.1,3.0,4.6673241,34237.0,19687.800000000003,575.0445424540702,25992.013318923975,0.3827894087756986
2021-10-01,1305.8,4.52,0.1,3.0,5.2528429,32702.0,18708.4,572.0873341080057,25858.34750168186,0.3808208864250896
2021-11-01,1328.9,4.52,0.1,3.0,4.6041171,38322.0,22836.0,595.8979176452168,26934.585877563797,0.3897756078995901
2021-12-01,1328.9,4.52,0.1,3.5,4.1737362,38535.0,23233.8,602.9272090307512,27252.30984818995,0.3943734530032061
2022-01-01,1328.9,4.52,0.1,3.5,4.1519935,28969.0,17891.5,617.6084780282371,27915.903206876315,0.4039764409962594
2022-02-01,1328.9,4.52,0.1,3.5,4.0069381,28219.0,16736.1,593.0791310818952,26807.176724901663,0.38793184537966136
2022-03-01,1328.9,4.52,0.1,5.1,3.9208216,34734.0,20837.699999999997,599.9222663672481,27116.486439799613,0.3924079261592817
2022-04-01,1328.9,4.52,0.1,5.1,3.871265,28447.0,17385.5,611.1540760009842,27624.164235244487,0.3997546298448758
2022-05-01,1344.7,4.77,0.33,5.1,3.9112687,33492.0,20599.4,615.0543413352443,29338.09208169115,0.4195687354012497
2022-06-01,1344.7,5.27,0.73,6.1,3.5786489,32017.0,19523.6,609.7885498329013,32135.856576193895,0.4595800117869283
2022-07-01,1344.7,5.77,1.28,6.1,3.4581311,28420.0,17309.0,609.0429275158339,35141.776917663614,0.5025681581488524
2022-08-01,1344.7,6.27,1.81,6.1,3.5115979,30057.0,17707.8,589.1406327976844,36939.117676414804,0.5282722150839306
2022-09-01,1344.7,6.77,2.25,7.3,3.5676064,26645.0,15679.0,588.4406079939951,39837.42916119346,0.5697214300186123
2022-10-01,1344.7,7.02,2.58,7.3,3.4274565,26983.0,16053.199999999999,594.9375532742838,41764.616239854724,0.5972824398901487
2022-11-01,1378.6,7.27,2.84,7.3,3.4675797,28160.0,16946.6,601.7968749999999,43750.63281249999,0.6102990884355923
2022-12-01,1378.6,7.52,3.05,7.8,3.5251211,26206.0,15837.5,604.3463329008624,45446.844234144846,0.6339603755502355
2023-01-01,1378.6,7.52,3.1,7.8,3.664257,19893.0,11960.7,601.2516965766853,45214.127582566725,0.6307140965551273
2023-02-01,1378.6,7.77,3.29,7.8,3.5489147,20772.0,12163.2,585.5574812247256,45497.81629116118,0.6346714098355241
2023-03-01,1378.6,8.02,3.54,7.0,3.5259781,26770.0,15446.3,577.0003735524841,46275.42995890922,0.6455187252244364
2023-04-01,1378.6,8.02,3.6,7.0,3.6800717,22250.0,13015.7,584.9752808988763,46915.01752808988,0.654440646699688
2023-05-01,1378.6,8.27,3.83,7.0,3.5512165,28838.0,16865.5,584.8359803037658,48365.93557112143,0.6746802158700776
